FlowCell Text Data File: Liver_130525.csv
Software Version: 2.30
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.211
Date: 2025-05-13
Time: 12:39:51
User: MS AC

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW55Ti
Speed: 37 rpm
Gradient: Sucrose 10.0% to 50.0% v/v
Time: 1:00
w2t:  x 10^0
Sample Volume: 0.3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.116 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 40.8 mm
Upper Limit to Slow-down Distance: 81.40 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 20
Distance/fraction: 2.04 mm
Start Distance: 0.00 mm
Volume/fraction: 0.237 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 781850
Source A Zero: 240096.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
24783.190, 231968.750, -0.38, 7.689872, , 
10781.880, 231968.750, -0.28, 9.562906, , 
10986.950, 231968.750, -0.18, 9.520505, , 
19830.010, 231752.220, -0.08, 8.189548, , 
10986.950, 231968.750, 0.00, 9.520505, , 
19830.010, 231752.220, 0.10, 8.189548, , 
11690.400, 231906.780, 0.20, 9.380242, , 
236078.950, 231769.880, 0.30, 2.615459, , 
319397.700, 231803.180, 0.40, 1.935541, , 
208286.500, 231735.650, 0.50, 2.896997, , 
2138.520, 231847.320, 0.60, 13.202376, , 
2163.190, 231762.310, 0.70, 13.175739, , 
2156.150, 231850.420, 0.80, 13.183930, , 
2144.310, 231867.070, 0.90, 13.196483, , 
2141.940, 231845.950, 1.00, 13.198767, , 
2140.910, 231886.220, 1.10, 13.200240, , 
2150.260, 231815.660, 1.20, 13.189748, , 
2185.160, 231811.420, 1.31, 13.153475, , 
2255.380, 231803.690, 1.41, 13.082220, , 
2384.590, 231840.540, 1.51, 12.957208, , 
2566.670, 231738.230, 1.61, 12.790623, , 
2744.090, 231784.250, 1.71, 12.640651, , 
3018.290, 231721.580, 1.81, 12.425709, , 
3396.810, 231817.040, 1.91, 12.160755, , 
3943.370, 231788.550, 2.01, 11.824716, , 
4448.720, 231827.740, 2.11, 11.553737, 1, 0.218
5588.290, 231714.230, 2.21, 11.039407, , 
7523.820, 231808.070, 2.31, 10.371038, , 
10067.270, 231775.920, 2.41, 9.715364, , 
13413.280, 231747.570, 2.51, 9.069313, , 
17593.380, 231787.570, 2.62, 8.459209, , 
22598.700, 231862.860, 2.72, 7.896499, , 
28986.300, 231946.930, 2.82, 7.337112, , 
36714.390, 231753.660, 2.92, 6.803356, , 
46270.290, 231856.600, 3.02, 6.283759, , 
57016.410, 231871.690, 3.12, 5.813927, , 
68614.770, 231812.100, 3.22, 5.396638, , 
80112.560, 231792.130, 3.32, 5.047796, , 
93080.750, 231767.720, 3.42, 4.709916, , 
107847.480, 231840.950, 3.52, 4.379249, , 
123880.730, 231830.710, 3.62, 4.067236, , 
139060.700, 231855.420, 3.72, 3.807345, , 
155379.330, 231829.990, 3.82, 3.557393, , 
172475.010, 231829.990, 3.92, 3.322485, , 
188872.340, 231829.990, 4.03, 3.118103, , 
202803.040, 231829.990, 4.13, 2.957953, 2, 0.234
219856.830, 231829.990, 4.23, 2.776250, , 
232492.040, 231862.250, 4.33, 2.650810, , 
249136.240, 231787.280, 4.43, 2.494479, , 
264740.270, 231815.070, 4.53, 2.358036, , 
280179.640, 231774.350, 4.63, 2.230082, , 
293382.750, 231726.210, 4.73, 2.125989, , 
307831.050, 231712.800, 4.83, 2.017673, , 
319596.530, 231795.570, 4.93, 1.934067, , 
330433.350, 231801.310, 5.04, 1.859081, , 
342350.030, 231749.250, 5.14, 1.778845, , 
350758.590, 231741.790, 5.24, 1.724167, , 
359661.840, 231698.050, 5.33, 1.667333, , 
366065.240, 231660.170, 5.44, 1.627250, , 
374521.700, 231643.260, 5.54, 1.575690, , 
